,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
96,KT2440,Bm3r1_b3,pSeva221,0,1.3139959837876538,2.5086284568432404,1.140370672523489,0.7623511914084101,0.3174071085217691,0.8720823323283222,1.0814013855343936,1.370529719138166,0.2785658109721861
97,KT2440,Bm3r1_b3,pSeva221,5,1.217010872867279,2.4441041867367974,1.1236859823716612,0.7402001953020544,0.3163778510989672,0.8498159311248576,1.0659658927383828,1.3051887188697429,0.2526780345453856
98,KT2440,Bm3r1_b3,pSeva221,10,1.1508907903320076,2.4275073016826667,1.122283219266856,0.7310737672714425,0.3061060305003067,0.8324545691903968,1.0684107353842398,1.2449619905934095,0.23026916561932015
99,KT2440,Bm3r1_b3,pSeva221,20,1.34071955554344,2.3786039457331882,1.2462483406578249,0.8449825468657216,0.4441787614245695,0.8443321591480654,1.1165614739944931,1.503903607357277,0.33696069024655484
100,KT2440,Bm3r1_b3,pSeva221,30,1.1646942753845304,2.4409540553692715,1.1785515113325924,0.7218465783805394,0.33678522670362965,0.8046766956879166,1.1097022935668501,1.267378289603276,0.2384524492295998
101,KT2440,Bm3r1_b3,pSeva221,40,1.2595011503431446,2.4684157460199456,1.1470520639260284,0.7440565918710079,0.2902981933813523,0.8459356522955532,1.097655684039775,1.3307845544475851,0.26261794173413155
102,KT2440,Bm3r1_b3,pSeva221,70,1.27363033150337,2.4352308251398385,1.232066416516978,0.7485852375039908,0.3140245119086301,0.8148920552494288,1.1697421835099964,1.3731050466546249,0.27962119895949117
103,KT2440,Bm3r1_b3,pSeva221,100,1.4247181832520888,2.4881884820693654,1.1889671615092237,0.7685066869239642,0.2629366978686579,0.8565045235962647,1.147131077478906,1.4814696029148762,0.3265856855151758
104,KT2440,Bm3r1_b3,pSeva221,200,1.4035394911280634,2.4444786392636653,1.2286263132415711,0.7366467229123059,0.2560329100489753,0.8314673311594933,1.18767382151629,1.4817792151558749,0.3267272930193937
105,KT2440,Bm3r1_b3,pSeva221,500,1.4745341287151288,2.4718200708720124,1.0285952464265813,0.7607650176242291,0.2506748879127398,0.9155463053928944,0.9957535685596591,1.5273651454608839,0.34806278491098264
106,KT2440,Bm3r1_b3,pSeva221,1000,1.4155302845134707,2.502349052791587,1.0378919376662366,0.7504909335202261,0.2699425020792187,0.9205008234039626,0.9993616977442212,1.4623251353884748,0.3179141967038729
107,KT2440,Bm3r1_b3,pSeva221,2000,1.3608246180833157,2.5810691972855886,0.9757618622449172,0.7507675357272019,0.29632202664872337,0.9376757993180296,0.9319385317038614,1.3787824951379524,0.2819574817582529
108,KT2440,Hiyiir_h1,pSeva221,0,1.8041428831292448,2.645716828636598,0.4678474198577236,0.6630419988419711,0.5841690008869314,0.9820482134209244,0.37971995868389335,1.7967155603082057,0.49605929637407276
109,KT2440,Hiyiir_h1,pSeva221,5,1.7780364844500205,2.4975263672186707,0.4585345112995496,0.6439814021287577,0.5608821662219856,0.980669317565294,0.3796187240467001,1.8300224515520964,0.5172867140326614
110,KT2440,Hiyiir_h1,pSeva221,10,1.7564299224466762,2.5066751889880488,0.4630069014038042,0.6365624685144802,0.5746082915802939,0.9835383363399643,0.3789380725543608,1.8070106368166816,0.5025453052119252
111,KT2440,Hiyiir_h1,pSeva221,20,1.685910399415054,2.5238748482421536,0.4712055235648722,0.6544944728693628,0.5582388982019404,0.9806892725206572,0.3909499209357557,1.7276374791845852,0.45422456473298
112,KT2440,Hiyiir_h1,pSeva221,30,1.7303588272712191,2.5544591948611712,0.4748009032137642,0.6361508665723515,0.5626990611252757,0.9843942154180729,0.39249977935207386,1.7611175190851445,0.4741398536587334
113,KT2440,Hiyiir_h1,pSeva221,40,1.692802563362835,2.5005607912459564,0.4815170732230248,0.660666200595811,0.5563894622330505,0.9806861726485748,0.4001029545756196,1.7443587275051715,0.46408770005638933
114,KT2440,Hiyiir_h1,pSeva221,70,1.62491806003376,2.499216421825575,0.4795292775545014,0.6590835304265582,0.5555990576797363,0.9832837586173944,0.3987047864048904,1.6768550128219624,0.425261571360554
115,KT2440,Hiyiir_h1,pSeva221,100,1.5792351148520585,2.51756814336542,0.4885762886286302,0.6667414013943828,0.5082109428216877,0.9830578504873124,0.4207778404851197,1.620248289543634,0.39466380508815013
116,KT2440,Hiyiir_h1,pSeva221,200,1.4305960794948454,2.5107920308136062,0.515902177807689,0.6915617273231094,0.4810079145909504,0.9816379222216032,0.4522998236026022,1.47254537749144,0.3225227959789878
117,KT2440,Hiyiir_h1,pSeva221,500,1.0413517600243585,2.550475543123226,0.530612111670976,0.722597285720723,0.4317777153927895,0.9833255785047303,0.4786015372190545,1.06583583663123,0.17106807925538728
118,KT2440,Hiyiir_h1,pSeva221,1000,0.6403350794732171,2.547418633569149,0.4924397505055843,0.7320322263655721,0.3823798358323109,0.9839050174783482,0.4550169038828921,0.6609851202944937,0.07059769565950574
119,KT2440,Hiyiir_h1,pSeva221,2000,0.33334925276896943,2.627441282449224,0.4642480289767024,0.7404507113473634,0.352170764563744,0.985765420597808,0.4345063332523583,0.33340590007361626,0.01436453137180833
120,KT2440,Lcara_i1,pSeva221,0,3.8451060226953397,2.6719855980274083,0.5352782568006033,0.6782443230840934,0.5491339830602717,0.97595080753689,0.4473504147689067,3.8259124631009658,4.637760987221995
121,KT2440,Lcara_i1,pSeva221,5,3.731981576569282,2.5643144145513816,0.5143702963393194,0.6555770379561727,0.5315560073782831,0.9805174201544038,0.4356835469665958,3.75841642548982,4.326529416242541
122,KT2440,Lcara_i1,pSeva221,10,3.670096864260597,2.5158658386678847,0.5175652773222572,0.6554187917872772,0.5263410815445448,0.9818648813530868,0.4400720523289202,3.716578304863562,4.143893930917128
123,KT2440,Lcara_i1,pSeva221,20,3.6155279634962594,2.5567742064288828,0.5014193710057843,0.6692558643754878,0.5407852378752362,0.9785535472838228,0.4217742700839323,3.644263855409796,3.845690171745943
124,KT2440,Lcara_i1,pSeva221,30,3.5524393462120143,2.5340201449908992,0.5046125966961735,0.6516768449753487,0.5390296948206886,0.9817050020387432,0.4250285097345567,3.591539156440809,3.6414665797722177
125,KT2440,Lcara_i1,pSeva221,40,3.528394214127696,2.5318414728947114,0.4926475195359392,0.6462173033356539,0.5474775835001399,0.9775491193961802,0.4122574689566386,3.5684020436349746,3.5551911429479346
126,KT2440,Lcara_i1,pSeva221,70,3.5045096056802585,2.6283796285724583,0.4776393121810422,0.6449374637742631,0.5824047885636432,0.9809249451004995,0.3882724834073532,3.504215528099542,3.3260386530359294
127,KT2440,Lcara_i1,pSeva221,100,3.3474052272728536,2.5692706976368687,0.4829513728197172,0.6482243378758621,0.5707447407576306,0.9817486047447102,0.39656467386499583,3.3722499743604675,2.8986844080776755
128,KT2440,Lcara_i1,pSeva221,200,3.119285079641913,2.5645609425595275,0.4785313563987458,0.6450134615314197,0.5538031002711685,0.9749540107042908,0.39844801426461773,3.1452256899635707,2.283417920684774
129,KT2440,Lcara_i1,pSeva221,500,2.7187252680068097,2.576739189555333,0.473217191733272,0.6338730473302555,0.5734670576208821,0.977963484034144,0.387673067520563,2.740541741820849,1.479964983659248
130,KT2440,Lcara_i1,pSeva221,1000,2.3226297272453773,2.611289909669344,0.4775705757223225,0.6407207353601305,0.5888121541125262,0.9775906340215924,0.386005926186224,2.329830832381444,0.9374538663058095
131,KT2440,Lcara_i1,pSeva221,2000,1.8642196362441852,2.670741078163418,0.4533539766848284,0.6169225174609045,0.6179490062133921,0.97978441161224,0.35643513820196665,1.844673340851572,0.5268503880072695
